Województwo,Nr okręgu,Kod gminy,Gmina,Powiat,Obwody,Uprawnieni,Karty wydane,Głosy oddane,Głosy nieważne,Głosy ważne,Dariusz Maciej GRABOWSKI,Piotr IKONOWICZ,Jarosław KALINOWSKI,Janusz KORWIN-MIKKE,Marian KRZAKLEWSKI,Aleksander KWAŚNIEWSKI,Andrzej LEPPER,Jan ŁOPUSZAŃSKI,Andrzej Marian OLECHOWSKI,Bogdan PAWŁOWSKI,Lech WAŁĘSA,Tadeusz Adam WILECKI
ŁÓDZKIE,18,101701,Biała,wieluński,7,4179,2695,2695,33,2662,13,3,547,19,146,1564,186,12,154,3,13,2
ŁÓDZKIE,18,101402,Błaszki,sieradzki,13,11658,6861,6859,82,6777,24,7,1588,36,853,3245,533,37,388,10,45,11
ŁÓDZKIE,18,101801,Bolesławiec,wieruszowski,4,3203,1962,1961,14,1947,8,1,258,13,198,1184,109,16,139,1,12,8
ŁÓDZKIE,18,101403,Brąszewice,sieradzki,4,3229,1890,1889,25,1864,11,5,484,6,212,868,142,13,107,0,15,1
ŁÓDZKIE,18,101404,Brzeźnio,sieradzki,4,4826,2844,2842,38,2804,7,5,510,20,199,1623,201,12,211,0,14,2
ŁÓDZKIE,18,100301,Buczek,łaski,5,3708,1968,1965,31,1934,15,10,276,17,168,1090,153,11,164,2,19,9
ŁÓDZKIE,18,101405,Burzenin,sieradzki,7,4522,2671,2670,51,2619,13,11,564,17,219,1386,203,1,168,4,24,9
ŁÓDZKIE,18,101702,Czarnożyły,wieluński,4,3505,2278,2278,18,2260,2,1,459,8,167,1262,182,20,148,1,9,1
ŁÓDZKIE,18,101802,Czastary,wieruszowski,3,3110,1849,1847,26,1821,10,2,254,2,195,1104,105,17,122,0,7,3
ŁÓDZKIE,18,101101,Dalików,poddębicki,5,2964,1681,1680,22,1658,5,2,328,19,165,821,223,11,72,0,8,4
ŁÓDZKIE,18,100901,Działoszyn,pajęczański,9,9680,5950,5948,69,5879,33,16,366,79,574,3736,272,54,711,2,28,8
ŁÓDZKIE,18,101803,Galewice,wieruszowski,5,4666,2930,2929,46,2883,8,4,337,20,304,1819,160,25,185,7,10,4
ŁÓDZKIE,18,101406,Goszczanów,sieradzki,7,4489,2446,2444,46,2398,8,4,588,15,118,1194,328,14,105,1,18,5
ŁÓDZKIE,18,100902,Kiełczygłów,pajęczański,3,3448,1936,1936,28,1908,4,3,322,19,179,996,208,9,153,1,5,9
ŁÓDZKIE,18,101407,Klonowa,sieradzki,4,2366,1527,1527,21,1506,8,1,381,5,95,758,189,3,50,2,9,5
ŁÓDZKIE,18,101703,Konopnica,wieluński,6,3272,2028,2028,37,1991,9,4,299,9,155,1165,194,3,141,2,10,0
ŁÓDZKIE,18,101804,Lututów,wieruszowski,4,3787,2256,2255,23,2232,6,5,368,25,169,1307,207,15,114,4,9,3
ŁÓDZKIE,18,100302,Łask,łaski,19,22152,13074,13072,117,12955,95,41,651,254,1626,7690,549,170,1757,18,96,8
ŁÓDZKIE,18,101805,Łubnice,wieruszowski,3,3172,2127,2123,24,2099,5,2,557,19,122,1179,130,3,73,2,5,2
ŁÓDZKIE,18,101704,Mokrsko,wieluński,6,4238,2852,2852,49,2803,7,8,438,15,224,1763,164,7,159,0,16,2
ŁÓDZKIE,18,100903,Nowa Brzeźnica,pajęczański,4,3964,2095,2094,37,2057,4,3,173,18,255,1222,131,14,214,1,20,2
ŁÓDZKIE,18,101705,Osjaków,wieluński,6,3565,2145,2145,31,2114,9,3,292,13,248,1071,221,6,233,2,16,0
ŁÓDZKIE,18,101706,Ostrówek,wieluński,5,3551,1999,1999,43,1956,4,1,291,17,206,1062,179,17,164,1,10,4
ŁÓDZKIE,18,100904,Pajęczno,pajęczański,5,9263,5520,5518,49,5469,31,11,326,84,730,3222,277,21,703,10,41,13
ŁÓDZKIE,18,101707,Pątnów,wieluński,9,4886,2981,2979,39,2940,20,1,633,22,185,1602,234,10,217,1,13,2
ŁÓDZKIE,18,101102,Pęczniew,poddębicki,5,3029,1763,1763,39,1724,5,4,347,11,126,860,244,12,99,2,12,2
ŁÓDZKIE,18,101103,Poddębice,poddębicki,19,12547,7314,7313,135,7178,28,24,692,57,622,4335,581,30,730,10,53,16
ŁÓDZKIE,18,100905,Rząśnia,pajęczański,5,3758,2055,2055,22,2033,4,8,200,13,155,1327,169,4,133,0,7,13
ŁÓDZKIE,18,100303,Sędziejowice,łaski,7,5025,2772,2773,32,2741,25,3,375,22,307,1532,251,20,187,4,11,4
ŁÓDZKIE,18,100906,Siemkowice,pajęczański,4,3900,2190,2190,30,2160,11,1,331,11,143,1304,225,11,113,2,8,0
ŁÓDZKIE,18,101401,Sieradz,sieradzki,26,34872,23880,23871,213,23658,126,76,1007,375,2973,14488,588,153,3618,32,169,53
ŁÓDZKIE,18,101408,Sieradz gm.,sieradzki,7,7075,4307,4305,94,4211,9,18,832,24,534,2035,345,34,337,5,28,10
ŁÓDZKIE,18,101708,Skomlin,wieluński,4,2704,1862,1862,20,1842,10,2,356,15,100,1166,86,7,90,0,9,1
ŁÓDZKIE,18,101806,Sokolniki,wieruszowski,4,3749,2245,2244,22,2222,10,4,351,11,148,1318,156,23,189,2,8,2
ŁÓDZKIE,18,100907,Strzelce Wielkie,pajęczański,3,3891,2269,2269,46,2223,6,2,268,16,141,1453,199,3,120,0,11,4
ŁÓDZKIE,18,100908,Sulmierzyce,pajęczański,4,3750,2302,2301,33,2268,6,1,172,12,183,1531,159,4,190,2,7,1
ŁÓDZKIE,18,101902,Szadek,zduńskowolski,8,5688,3195,3195,47,3148,10,3,481,33,267,1729,318,11,268,1,23,4
ŁÓDZKIE,18,101104,Uniejów,poddębicki,6,6242,3681,3681,52,3629,13,11,595,22,438,1850,346,12,300,7,30,5
ŁÓDZKIE,18,101409,Warta,sieradzki,12,10539,6284,6284,96,6188,22,16,1080,53,716,3100,601,50,489,5,44,12
ŁÓDZKIE,18,101105,Wartkowice,poddębicki,9,5116,2765,2765,49,2716,3,3,429,8,153,1627,348,14,109,4,15,3
ŁÓDZKIE,18,100304,Widawa,łaski,6,6433,3394,3394,57,3337,10,10,464,28,334,1747,435,20,246,4,30,9
ŁÓDZKIE,18,101709,Wieluń,wieluński,23,26180,17226,17224,169,17055,62,42,928,282,1588,10780,537,103,2570,21,123,19
ŁÓDZKIE,18,101807,Wieruszów,wieruszowski,8,10788,6969,6967,61,6906,36,14,497,92,982,3948,232,35,1005,4,57,4
ŁÓDZKIE,18,101710,Wierzchlas,wieluński,7,4999,2973,2971,29,2942,9,14,361,15,226,1928,189,6,174,2,15,3
ŁÓDZKIE,18,100305,Wodzierady,łaski,2,2350,1283,1283,24,1259,3,4,214,3,119,528,240,13,129,3,2,1
ŁÓDZKIE,18,101410,Wróblew,sieradzki,4,4830,2885,2885,32,2853,5,5,936,10,202,1240,286,3,144,1,20,1
ŁÓDZKIE,18,101106,Zadzim,poddębicki,6,4457,2399,2398,46,2352,1,0,586,16,193,1140,312,4,88,4,7,1
ŁÓDZKIE,18,101903,Zapolice,zduńskowolski,4,3477,1834,1834,38,1796,3,3,238,13,142,1138,95,7,138,2,13,4
ŁÓDZKIE,18,101901,Zduńska Wola,zduńskowolski,23,34761,23452,23445,204,23241,131,60,559,400,3057,14258,497,186,3818,36,201,38
ŁÓDZKIE,18,101904,Zduńska Wola gm.,zduńskowolski,5,7917,4702,4701,65,4636,27,3,414,44,784,2569,248,29,465,3,37,13
ŁÓDZKIE,18,101411,Złoczew,sieradzki,6,5613,3403,3403,45,3358,26,7,606,18,393,1713,303,26,234,4,25,3
ŁÓDZKIE,19,100202,Bedlno,kutnowski,7,5095,3108,3107,49,3058,9,4,1126,14,99,1449,267,5,62,3,20,0
ŁÓDZKIE,19,101302,Biała Rawska,rawski,8,9185,4538,4536,62,4474,13,8,1274,40,399,2058,341,20,283,1,25,12
ŁÓDZKIE,19,100502,Bielawy,łowicki,7,4995,2752,2750,52,2698,9,2,677,13,137,1415,304,7,111,0,18,5
ŁÓDZKIE,19,101501,Bolimów,skierniewicki,4,3124,1722,1722,32,1690,8,4,266,18,114,959,115,22,168,2,14,0
ŁÓDZKIE,19,100503,Chąśno,łowicki,3,2528,1628,1625,19,1606,2,2,1021,1,112,345,73,7,37,0,5,1
ŁÓDZKIE,19,101303,Cielądz,rawski,3,3166,1531,1530,29,1501,4,2,372,8,115,644,213,4,119,2,16,2
ŁÓDZKIE,19,100402,Daszyna,łęczycki,2,3541,1634,1633,23,1610,2,2,256,7,55,862,350,6,58,2,8,2
ŁÓDZKIE,19,100203,Dąbrowice,kutnowski,1,1731,947,945,11,934,4,3,226,4,78,396,183,5,26,0,6,3
ŁÓDZKIE,19,100504,Domaniewice,łowicki,3,3691,2013,2012,33,1979,10,0,689,13,140,813,137,18,144,3,7,5
ŁÓDZKIE,19,101502,Głuchów,skierniewicki,4,4800,3231,3231,43,3188,3,6,1562,13,397,761,231,31,163,1,16,4
ŁÓDZKIE,19,101503,Godzianów,skierniewicki,1,2069,1442,1442,22,1420,1,0,709,10,93,422,99,10,63,1,10,2
ŁÓDZKIE,19,100403,Góra Świętej Małgorzaty,łęczycki,6,3688,1986,1986,39,1947,5,2,585,4,187,638,429,13,64,0,14,6
ŁÓDZKIE,19,100404,Grabów,łęczycki,7,5339,2748,2747,34,2713,15,0,562,10,184,1394,409,23,95,3,13,5
ŁÓDZKIE,19,100505,Kiernozia,łowicki,3,3058,1775,1772,16,1756,2,5,763,13,107,624,163,8,60,1,9,1
ŁÓDZKIE,19,100506,Kocierzew Południowy,łowicki,3,3550,2398,2392,22,2370,1,0,1568,3,261,308,150,15,46,1,17,0
ŁÓDZKIE,19,101504,Kowiesy,skierniewicki,4,2430,1187,1187,22,1165,6,3,273,9,95,596,76,9,93,0,3,2
ŁÓDZKIE,19,100204,Krośniewice,kutnowski,7,7374,4157,4155,52,4103,14,10,383,19,236,2851,344,6,207,3,17,13
ŁÓDZKIE,19,100205,Krzyżanów,kutnowski,4,3655,1999,1998,16,1982,2,2,528,8,117,1054,175,1,89,1,5,0
ŁÓDZKIE,19,100201,Kutno,kutnowski,29,39421,25677,25672,206,25466,156,93,843,339,3045,16723,661,157,3175,40,187,47
ŁÓDZKIE,19,100206,Kutno gm.,kutnowski,8,6346,3562,3561,55,3506,10,3,494,31,460,1886,318,39,236,5,19,5
ŁÓDZKIE,19,101505,Lipce Reymontowskie,skierniewicki,3,2605,1545,1543,17,1526,3,1,445,8,88,750,86,13,122,1,7,2
ŁÓDZKIE,19,100207,Łanięta,kutnowski,4,2128,1038,1038,13,1025,3,2,125,6,76,633,112,12,38,1,14,3
ŁÓDZKIE,19,100401,Łęczyca,łęczycki,10,12900,8487,8484,90,8394,47,20,174,91,924,5781,197,34,1050,5,61,10
ŁÓDZKIE,19,100405,Łęczyca gm.,łęczycki,9,6913,3797,3793,69,3724,17,8,961,16,370,1592,525,14,208,0,11,2
ŁÓDZKIE,19,100501,Łowicz,łowicki,18,24569,15621,15606,161,15445,107,28,809,212,1752,9260,283,237,2546,25,163,23
ŁÓDZKIE,19,100507,Łowicz gm.,łowicki,8,5601,3502,3502,35,3467,9,5,1338,15,312,1266,221,34,229,4,27,7
ŁÓDZKIE,19,100508,Łyszkowice,łowicki,8,5277,2793,2792,60,2732,9,4,649,13,198,1518,131,43,150,1,13,3
ŁÓDZKIE,19,101506,Maków,skierniewicki,6,4605,2737,2737,42,2695,25,3,555,33,219,1398,136,39,260,3,15,9
ŁÓDZKIE,19,100509,Nieborów,łowicki,7,7160,4108,4106,54,4052,9,10,640,35,469,2077,196,72,496,8,36,4
ŁÓDZKIE,19,100208,Nowe Ostrowy,kutnowski,4,3195,1755,1755,21,1734,2,4,219,13,113,1158,104,1,105,2,9,4
ŁÓDZKIE,19,101507,Nowy Kawęczyn,skierniewicki,4,2724,1530,1530,14,1516,4,4,391,18,65,832,98,8,81,4,10,1
ŁÓDZKIE,19,100209,Oporów,kutnowski,2,2247,1309,1304,16,1288,2,3,379,5,64,649,149,3,25,0,5,4
ŁÓDZKIE,19,100406,Piątek,łęczycki,5,5219,2756,2755,46,2709,8,4,508,22,369,1142,434,7,199,1,11,4
ŁÓDZKIE,19,101301,Rawa Mazowiecka,rawski,9,13828,8484,8482,86,8396,53,28,486,92,974,4737,313,99,1476,19,97,22
ŁÓDZKIE,19,101304,Rawa Mazowiecka gm.,rawski,5,6325,3095,3094,51,3043,3,5,795,15,266,1396,290,20,227,3,19,4
ŁÓDZKIE,19,101305,Regnów,rawski,1,1427,686,686,6,680,0,3,280,4,17,254,96,1,22,1,1,1
ŁÓDZKIE,19,101306,Sadkowice,rawski,4,4669,2489,2488,19,2469,6,0,1097,9,162,856,227,7,92,1,9,3
ŁÓDZKIE,19,106301,Skierniewice,Skierniewice,24,36868,24000,23985,151,23834,150,67,898,414,2223,14817,374,560,4059,35,191,46
ŁÓDZKIE,19,101508,Skierniewice gm.,skierniewicki,8,5065,2671,2670,38,2632,11,6,367,31,302,1447,165,30,252,2,14,5
ŁÓDZKIE,19,101509,Słupia,skierniewicki,2,2077,1476,1475,16,1459,5,0,535,8,72,654,124,1,50,3,6,1
ŁÓDZKIE,19,100210,Strzelce,kutnowski,3,3340,1810,1809,28,1781,4,5,405,5,155,853,184,11,148,1,7,3
ŁÓDZKIE,19,100407,Świnice Warckie,łęczycki,4,3311,1909,1907,25,1882,6,3,289,13,168,1066,209,6,100,0,14,8
ŁÓDZKIE,19,100408,Witonia,łęczycki,4,2886,1568,1568,20,1548,2,15,307,10,97,842,194,4,65,3,4,5
ŁÓDZKIE,19,100510,Zduny,łowicki,4,5028,3245,3239,34,3205,5,3,1421,24,179,1244,173,20,121,2,12,1
ŁÓDZKIE,19,100211,Żychlin,kutnowski,9,11165,6796,6796,78,6718,20,12,856,70,493,4482,240,17,473,8,42,5
MAŁOPOLSKIE,20,126101,Kraków,Kraków,218,290310,194792,194670,1686,192984,860,411,2086,5732,39563,71615,1299,1932,66256,135,2845,250
MAŁOPOLSKIE,21,126101,Kraków,Kraków,200,282413,184976,184873,1827,183046,882,406,2921,5021,37398,76120,1793,1867,53971,173,2208,286
MAŁOPOLSKIE,22,120801,Charsznica,miechowski,8,6253,3418,3416,50,3366,5,2,604,26,261,1988,231,8,210,0,25,6
MAŁOPOLSKIE,22,120601,Czernichów,krakowski,12,9287,5093,5090,79,5011,28,6,271,79,1069,2234,196,36,1008,7,69,8
MAŁOPOLSKIE,22,120802,Gołcza,miechowski,7,5016,2978,2978,60,2918,4,5,612,15,258,1460,299,12,229,4,16,4
MAŁOPOLSKIE,22,120602,Igołomia-Wawrzeńczyce,krakowski,4,5645,2739,2738,43,2695,10,5,536,20,234,1299,201,43,320,3,23,1
MAŁOPOLSKIE,22,120603,Iwanowice,krakowski,6,5862,3010,3008,57,2951,13,1,522,38,474,1123,262,16,476,1,25,0
MAŁOPOLSKIE,22,120604,Jerzmanowice-Przeginia,krakowski,8,7583,4273,4273,91,4182,13,4,352,50,614,2226,207,38,642,2,30,4
MAŁOPOLSKIE,22,120605,Kocmyrzów-Luborzyca,krakowski,10,9080,5007,5006,75,4931,7,4,764,54,671,2239,364,26,763,0,39,0
MAŁOPOLSKIE,22,121401,Koniusza,proszowicki,9,6273,3135,3135,43,3092,5,5,845,22,240,1489,209,12,241,0,22,2
MAŁOPOLSKIE,22,121402,Koszyce,proszowicki,3,4620,2201,2197,27,2170,6,2,560,9,190,1103,98,9,178,4,10,1
MAŁOPOLSKIE,22,120803,Kozłów,miechowski,9,4030,2221,2220,36,2184,9,4,321,9,105,1412,227,5,84,1,5,2
MAŁOPOLSKIE,22,120606,Krzeszowice,krakowski,19,24212,15258,15251,214,15037,79,23,493,227,2294,8121,366,107,3108,10,171,38
MAŁOPOLSKIE,22,120804,Książ Wielki,miechowski,9,4477,2681,2682,49,2633,9,0,633,28,147,1405,226,8,164,2,9,2
MAŁOPOLSKIE,22,120607,Liszki,krakowski,10,10692,5959,5959,96,5863,21,8,315,82,1590,2084,213,42,1407,2,83,16
MAŁOPOLSKIE,22,120608,Michałowice,krakowski,4,5039,2571,2571,24,2547,2,9,323,39,418,1013,152,25,536,8,17,5
MAŁOPOLSKIE,22,120805,Miechów,miechowski,17,15872,9519,9512,99,9413,34,24,792,114,710,5825,509,61,1280,6,45,13
MAŁOPOLSKIE,22,120609,Mogilany,krakowski,7,7093,4189,4189,65,4124,13,6,127,89,1071,1319,102,72,1250,3,67,5
MAŁOPOLSKIE,22,121403,Nowe Brzesko,proszowicki,5,4376,2360,2359,27,2332,3,3,754,22,176,981,159,17,204,1,12,0
MAŁOPOLSKIE,22,121404,Pałecznica,proszowicki,5,2781,1701,1694,34,1660,1,0,565,5,76,767,167,3,69,0,4,3
MAŁOPOLSKIE,22,121405,Proszowice,proszowicki,10,12917,7024,7020,102,6918,10,21,1332,59,676,3535,316,41,866,9,45,8
MAŁOPOLSKIE,22,120806,Racławice,miechowski,3,2033,939,938,7,931,1,1,285,5,31,455,102,0,47,0,4,0
MAŁOPOLSKIE,22,121406,Radziemice,proszowicki,4,2710,1526,1526,46,1480,1,6,541,4,84,591,180,6,63,1,3,0
MAŁOPOLSKIE,22,120610,Skała,krakowski,5,7083,3928,3927,60,3867,7,8,529,41,636,1609,196,12,779,2,44,4
MAŁOPOLSKIE,22,120611,Skawina,krakowski,23,30509,18176,18172,299,17873,104,32,479,303,4179,7062,301,205,4951,14,219,24
MAŁOPOLSKIE,22,120807,Słaboszów,miechowski,5,3267,1839,1838,28,1810,2,3,457,6,36,1072,179,0,49,1,5,0
MAŁOPOLSKIE,22,120612,Słomniki,krakowski,12,10385,5724,5722,70,5652,19,11,857,89,803,2469,350,29,962,5,50,8
MAŁOPOLSKIE,22,120613,Sułoszowa,krakowski,5,4468,2770,2770,63,2707,8,5,896,14,337,997,186,22,223,2,16,1
MAŁOPOLSKIE,22,120614,Świątniki Górne,krakowski,5,6056,3541,3541,40,3501,21,2,54,59,1117,984,56,45,1086,2,70,5
MAŁOPOLSKIE,22,120615,Wielka Wieś,krakowski,8,6259,3777,3777,78,3699,13,6,242,48,721,1411,91,20,1083,2,57,5
MAŁOPOLSKIE,22,120616,Zabierzów,krakowski,16,15948,10071,10065,158,9907,42,14,256,215,2112,4035,222,64,2772,5,150,20
MAŁOPOLSKIE,22,120617,Zielonki,krakowski,8,9673,5799,5794,99,5695,17,10,347,148,1036,2234,185,38,1594,6,64,16
MAŁOPOLSKIE,23,120301,Alwernia,chrzanowski,8,9391,5595,5593,85,5508,27,7,166,78,785,3129,133,32,1089,2,54,6
MAŁOPOLSKIE,23,120302,Babice,chrzanowski,8,6464,4337,4336,64,4272,30,12,155,39,617,2551,132,26,680,2,24,4
MAŁOPOLSKIE,23,121203,Bolesław,olkuski,5,6027,4131,4127,39,4088,18,8,38,38,273,3367,46,18,251,3,21,7
MAŁOPOLSKIE,23,121302,Brzeszcze,oświęcimski,15,16730,11515,11515,100,11415,65,16,289,107,1450,7302,178,48,1834,13,94,19
MAŁOPOLSKIE,23,121201,Bukowno,olkuski,6,8408,5719,5719,49,5670,36,8,57,70,374,4433,78,22,549,3,34,6
MAŁOPOLSKIE,23,121303,Chełmek,oświęcimski,7,9923,6892,6892,75,6817,44,21,115,92,861,4389,119,51,1055,9,53,8
MAŁOPOLSKIE,23,120303,Chrzanów,chrzanowski,28,39938,26986,26967,225,26742,160,47,370,380,3197,17476,384,142,4326,16,222,22
MAŁOPOLSKIE,23,121304,Kęty,oświęcimski,17,24963,16654,16641,195,16446,143,39,529,233,3361,7533,324,170,3871,8,208,27
MAŁOPOLSKIE,23,121204,Klucze,olkuski,10,11703,7845,7844,81,7763,46,32,178,116,788,5380,151,30,983,9,33,17
MAŁOPOLSKIE,23,120304,Libiąż,chrzanowski,12,17299,11987,11981,117,11864,71,31,166,128,1371,8072,246,54,1604,4,90,27
MAŁOPOLSKIE,23,121205,Olkusz,olkuski,33,39936,26869,26868,255,26613,159,82,822,449,3787,15851,561,219,4393,26,230,34
MAŁOPOLSKIE,23,121305,Osiek,oświęcimski,3,4589,2877,2877,43,2834,8,5,170,24,407,1578,104,5,504,0,26,3
MAŁOPOLSKIE,23,121301,Oświęcim,oświęcimski,24,33918,22927,22918,207,22711,144,62,355,396,3529,13045,299,145,4470,21,214,31
MAŁOPOLSKIE,23,121306,Oświęcim gm.,oświęcimski,13,11811,8003,8000,88,7912,41,27,330,104,1213,4183,195,70,1613,6,115,15
MAŁOPOLSKIE,23,121307,Polanka Wielka,oświęcimski,2,2896,1988,1988,24,1964,5,1,252,17,220,1147,48,6,255,1,10,2
MAŁOPOLSKIE,23,121308,Przeciszów,oświęcimski,3,4893,3181,3179,47,3132,19,4,148,27,308,1971,99,4,504,0,37,11
MAŁOPOLSKIE,23,121202,Sławków,olkuski,5,5387,3523,3521,27,3494,17,7,35,40,455,2333,50,21,502,3,27,4
MAŁOPOLSKIE,23,120305,Trzebinia,chrzanowski,23,27051,18416,18415,188,18227,113,56,291,238,2235,11899,378,108,2674,17,184,34
MAŁOPOLSKIE,23,121206,Trzyciąż,olkuski,4,5510,2984,2984,36,2948,1,5,823,15,192,1454,258,8,175,1,13,3
MAŁOPOLSKIE,23,121207,Wolbrom,olkuski,20,18021,11538,11537,143,11394,37,21,1076,85,1142,7051,589,51,1246,16,60,20
MAŁOPOLSKIE,23,121309,Zator,oświęcimski,10,6502,4303,4298,64,4234,17,11,193,39,637,2437,103,19,733,1,36,8
MAŁOPOLSKIE,24,121801,Andrychów,wadowicki,24,32407,21733,21725,280,21445,180,49,683,212,4492,9836,424,166,5093,16,251,43
MAŁOPOLSKIE,24,121901,Biskupice,wielicki,8,5812,3341,3341,59,3282,15,6,217,36,755,1169,71,31,931,1,47,3
MAŁOPOLSKIE,24,121802,Brzeźnica,wadowicki,8,7174,4091,4088,75,4013,12,1,324,29,788,1945,117,31,716,3,46,1
MAŁOPOLSKIE,24,120901,Dobczyce,myślenicki,8,9345,5561,5556,92,5464,25,14,398,81,1362,1870,159,82,1358,9,98,8
MAŁOPOLSKIE,24,121902,Gdów,wielicki,12,10948,6077,6076,107,5969,23,12,558,56,1166,2438,243,49,1318,3,89,14
MAŁOPOLSKIE,24,121803,Kalwaria Zebrzydowska,wadowicki,12,13980,8499,8496,112,8384,30,10,355,103,2179,3060,184,89,2204,10,148,12
MAŁOPOLSKIE,24,121903,Kłaj,wielicki,11,7939,5038,5036,76,4960,15,6,207,81,963,2193,104,49,1247,8,75,12
MAŁOPOLSKIE,24,121804,Lanckorona,wadowicki,4,4134,2106,2106,42,2064,12,1,143,33,413,918,77,28,394,1,40,4
MAŁOPOLSKIE,24,120902,Lubień,myślenicki,6,6133,4006,4004,72,3932,20,4,183,25,1771,821,155,25,855,2,67,4
MAŁOPOLSKIE,24,121805,Mucharz,wadowicki,6,2827,1815,1816,29,1787,6,3,79,9,399,898,53,6,318,1,15,0
MAŁOPOLSKIE,24,120903,Myślenice,myślenicki,25,28377,18011,18013,238,17775,110,21,829,347,4763,5547,405,168,5243,12,298,32
MAŁOPOLSKIE,24,121904,Niepołomice,wielicki,10,15185,9141,9138,121,9017,54,11,427,157,1801,3693,284,108,2365,13,89,15
MAŁOPOLSKIE,24,120904,Pcim,myślenicki,6,7050,3957,3956,63,3893,17,3,185,36,1451,990,106,34,979,3,78,11
MAŁOPOLSKIE,24,120905,Raciechowice,myślenicki,3,4278,2111,2111,34,2077,5,7,297,25,329,895,140,32,313,2,29,3
MAŁOPOLSKIE,24,120906,Siepraw,myślenicki,3,5183,2738,2738,40,2698,18,5,148,41,819,815,76,37,694,4,36,5
MAŁOPOLSKIE,24,121806,Spytkowice,wadowicki,4,6496,3986,3984,52,3932,18,7,182,32,798,1906,147,21,763,5,51,2
MAŁOPOLSKIE,24,121807,Stryszów,wadowicki,5,4916,2846,2845,63,2782,24,6,164,15,542,1296,122,31,525,1,47,9
MAŁOPOLSKIE,24,120907,Sułkowice,myślenicki,9,9412,5283,5280,116,5164,20,15,236,53,1147,2090,167,65,1285,6,74,6
MAŁOPOLSKIE,24,120908,Tokarnia,myślenicki,6,5318,3352,3352,59,3293,8,2,207,36,1447,539,59,17,717,1,254,6
MAŁOPOLSKIE,24,121808,Tomice,wadowicki,4,4959,2968,2965,37,2928,6,5,171,25,453,1592,126,16,501,1,31,1
MAŁOPOLSKIE,24,121809,Wadowice,wadowicki,25,28105,18324,18319,215,18104,92,20,522,200,3581,9019,371,138,3924,9,202,26
MAŁOPOLSKIE,24,121905,Wieliczka,wielicki,27,33443,19551,19535,283,19252,46,36,518,462,4421,7329,256,236,5662,18,251,17
MAŁOPOLSKIE,24,121810,Wieprz,wadowicki,8,8992,5781,5779,87,5692,28,7,687,23,1157,2563,204,27,934,4,51,7
MAŁOPOLSKIE,24,120909,Wiśniowa,myślenicki,7,4606,2584,2583,38,2545,5,2,342,22,650,837,121,18,507,0,37,4
MAŁOPOLSKIE,25,120502,Biecz,gorlicki,13,12715,7386,7383,107,7276,38,8,869,73,1480,3194,398,133,977,11,90,5
MAŁOPOLSKIE,25,120503,Bobowa,gorlicki,7,6166,3695,3693,80,3613,12,3,560,29,1070,1076,179,40,546,5,87,6
MAŁOPOLSKIE,25,121002,Chełmiec,nowosądecki,19,15309,9689,9683,149,9534,57,16,645,78,3339,2538,299,82,2240,8,214,18
MAŁOPOLSKIE,25,120703,Dobra,limanowski,6,6751,3666,3666,79,3587,6,12,309,31,879,1322,210,26,715,3,71,3
MAŁOPOLSKIE,25,120501,Gorlice,gorlicki,22,23147,14873,14873,180,14693,111,36,502,265,2676,7279,259,118,3240,23,139,45
MAŁOPOLSKIE,25,120504,Gorlice gm.,gorlicki,10,11635,6850,6847,129,6718,34,6,606,65,1342,2946,342,42,1217,9,96,13
MAŁOPOLSKIE,25,121003,Gródek nad Dunajcem,nowosądecki,7,5922,3201,3201,60,3141,7,4,467,26,806,1141,98,19,500,6,66,1
MAŁOPOLSKIE,25,121001,Grybów,nowosądecki,4,4671,3194,3193,38,3155,17,5,119,34,1128,1134,59,34,556,0,47,22
MAŁOPOLSKIE,25,121004,Grybów gm.,nowosądecki,14,14970,10092,10090,158,9932,50,17,794,84,4152,2660,367,85,1520,12,165,26
MAŁOPOLSKIE,25,120704,Jodłownik,limanowski,8,5696,3450,3449,95,3354,16,2,363,25,953,1399,191,15,329,3,50,8
MAŁOPOLSKIE,25,120705,Kamienica,limanowski,5,4959,2566,2564,43,2521,6,2,155,18,942,678,75,7,600,3,34,1
MAŁOPOLSKIE,25,121005,Kamionka Wielka,nowosądecki,8,5707,3289,3288,63,3225,16,5,280,15,1064,984,108,43,608,10,87,5
MAŁOPOLSKIE,25,121006,Korzenna,nowosądecki,9,8937,5227,5227,103,5124,24,5,906,27,1614,1445,251,27,695,7,116,7
MAŁOPOLSKIE,25,121007,Krynica,nowosądecki,17,13809,8502,8499,104,8395,54,21,353,101,1715,4152,192,57,1622,11,94,23
MAŁOPOLSKIE,25,120706,Laskowa,limanowski,6,4996,3292,3291,62,3229,21,0,308,21,1505,574,126,44,557,4,61,8
MAŁOPOLSKIE,25,120701,Limanowa,limanowski,12,10819,7132,7134,97,7037,51,14,271,119,1709,2800,95,130,1743,8,85,12
MAŁOPOLSKIE,25,120707,Limanowa gm.,limanowski,19,15320,8765,8761,184,8577,54,12,706,66,2804,2748,385,89,1516,17,163,17
MAŁOPOLSKIE,25,120505,Lipinki,gorlicki,7,5017,3034,3034,45,2989,19,8,305,28,599,1449,154,35,359,5,21,7
MAŁOPOLSKIE,25,121008,Łabowa,nowosądecki,5,3165,1800,1799,40,1759,5,5,152,8,584,550,76,16,310,3,42,8
MAŁOPOLSKIE,25,121009,Łącko,nowosądecki,10,10145,5947,5941,153,5788,16,12,422,39,2096,1648,206,42,1081,6,208,12
